,0
vol_ewm_100,0.039671039258333485
vol_rel_20,0.03902340375955145
vol_ewm_50,0.03765467642432055
vol_atr_14,0.03704181593988484
ema_diff,0.0369917335383206
close,0.036972036555098016
rsi_14,0.03682887562686435
ema_short,0.03654242972236678
vwap,0.03644449384439338
volume,0.03632301802124107
vol_ewm_10,0.036259940133630916
trades,0.0362517624674047
low,0.03585013027355279
open,0.03573322222083795
vol_bb_pct_b_20,0.03540964336045394
log_dist_ema_long,0.035408435361749986
corr_pv_10,0.03539472104084335
trend_variance_ratio_20,0.035368019222157446
mom_roc_10,0.03523084412182829
log_dist_ema_short,0.03517239244777817
mom_stoch_k_14,0.03509252199885184
ema_long,0.03499861235643106
high,0.0348238583454145
vol_parkinson,0.03475770848583468
log_return,0.03404067891315203
ffd_log_price,0.03364620847746232
liq_amihud,0.03243393984446266
median_trade_size,0.030633838237778842
